"","mp_names","mp_parties","mp_url","mp_url_full","interventions","interventions_com"
"188","Sébastien Lemire","Bloc Québécois","/Members/en/sebastien-lemire(104630)","https://www.ourcommons.ca/Members/en/sebastien-lemire(104630)","146 in the current session","588 in the current session"
"189","Chris Lewis","Conservative","/Members/en/chris-lewis(105120)","https://www.ourcommons.ca/Members/en/chris-lewis(105120)","45 in the current session","111 in the current session"
"190","Leslyn Lewis","Conservative","/Members/en/leslyn-lewis(88958)","https://www.ourcommons.ca/Members/en/leslyn-lewis(88958)","42 in the current session","51 in the current session"
"191","Ron Liepert","Conservative","/Members/en/ron-liepert(89139)","https://www.ourcommons.ca/Members/en/ron-liepert(89139)","5 in the current session","48 in the current session"
"192","Joël Lightbound","Liberal","/Members/en/joel-lightbound(88532)","https://www.ourcommons.ca/Members/en/joel-lightbound(88532)","15 in the current session","915 in the current session"
"193","Dane Lloyd","Conservative","/Members/en/dane-lloyd(98079)","https://www.ourcommons.ca/Members/en/dane-lloyd(98079)","104 in the current session","454 in the current session"
"194","Ben Lobb","Conservative","/Members/en/ben-lobb(35600)","https://www.ourcommons.ca/Members/en/ben-lobb(35600)","37 in the current session","231 in the current session"
"195","Wayne Long","Liberal","/Members/en/wayne-long(88368)","https://www.ourcommons.ca/Members/en/wayne-long(88368)","15 in the current session","145 in the current session"
"196","Lloyd Longfield","Liberal","/Members/en/lloyd-longfield(88761)","https://www.ourcommons.ca/Members/en/lloyd-longfield(88761)","72 in the current session","159 in the current session"
"197","Tim Louis","Liberal","/Members/en/tim-louis(88810)","https://www.ourcommons.ca/Members/en/tim-louis(88810)","42 in the current session","189 in the current session"
"198","Lawrence MacAulay","Liberal","/Members/en/lawrence-macaulay(33)","https://www.ourcommons.ca/Members/en/lawrence-macaulay(33)","15 in the current session","120 in the current session"
"199","Heath MacDonald","Liberal","/Members/en/heath-macdonald(109891)","https://www.ourcommons.ca/Members/en/heath-macdonald(109891)","13 in the current session","269 in the current session"
"200","Alistair MacGregor","NDP","/Members/en/alistair-macgregor(89269)","https://www.ourcommons.ca/Members/en/alistair-macgregor(89269)","180 in the current session","741 in the current session"
"201","Dave MacKenzie","Conservative","/Members/en/dave-mackenzie(891)","https://www.ourcommons.ca/Members/en/dave-mackenzie(891)","12 in the current session","None in the current session"
"202","Steven MacKinnon","Liberal","/Members/en/steven-mackinnon(88468)","https://www.ourcommons.ca/Members/en/steven-mackinnon(88468)","46 in the current session","None in the current session"
"203","Larry Maguire","Conservative","/Members/en/larry-maguire(7251)","https://www.ourcommons.ca/Members/en/larry-maguire(7251)","91 in the current session","189 in the current session"
"204","James Maloney","Liberal","/Members/en/james-maloney(88748)","https://www.ourcommons.ca/Members/en/james-maloney(88748)","33 in the current session","305 in the current session"
"205","Richard Martel","Conservative","/Members/en/richard-martel(100521)","https://www.ourcommons.ca/Members/en/richard-martel(100521)","36 in the current session","204 in the current session"
"206","Soraya Martinez Ferrada","Liberal","/Members/en/soraya-martinez-ferrada(104756)","https://www.ourcommons.ca/Members/en/soraya-martinez-ferrada(104756)","120 in the current session","150 in the current session"
"207","Brian Masse","NDP","/Members/en/brian-masse(9137)","https://www.ourcommons.ca/Members/en/brian-masse(9137)","107 in the current session","553 in the current session"
"208","Lindsay Mathyssen","NDP","/Members/en/lindsay-mathyssen(105221)","https://www.ourcommons.ca/Members/en/lindsay-mathyssen(105221)","127 in the current session","187 in the current session"
"209","Bryan May","Liberal","/Members/en/bryan-may(71599)","https://www.ourcommons.ca/Members/en/bryan-may(71599)","57 in the current session","99 in the current session"
